year,month,day,TAVG,TMAX,TMIN,,,0,,,
1883,2,7,1.8,7.3,-4.3,,,,,,
1883,2,8,1.8,5.7,-2.4,,,,,,
1883,2,9,0.6,5.7,-5.1,,,,,,
1883,2,10,-0.4,6.3,-5.4,,,,,,
1883,2,11,0.8,8.4,-5.8,,,,,,
1883,2,12,1.7,11.2,-6.2,,,,,,
1883,2,13,1.8,11.2,-6.2,,,,,,
1883,2,14,2.5,7.4,-4.7,,,,,,
1883,2,15,3.2,7.4,-0.5,,,,,,
1883,2,16,5.6,10.3,-0.5,,,,,,
1883,2,17,6.9,10.3,1.8,,,,,,
1883,2,18,3.8,9.2,-2.2,,,,,,
1883,2,19,4.8,11.6,-2.2,,,,,,
1883,2,20,5.3,11.6,-0.6,,,,,,
1883,2,21,4.8,9.5,-0.6,,,,,,
1883,2,22,5.6,9.5,-0.3,,,,,,
1883,2,23,4.7,9.3,0.9,,,,,,
1883,2,24,5.3,9.6,1,,,,,,
1883,2,25,5.2,9.6,-0.4,,,,,,
1883,2,26,4.6,10.2,-0.4,,,,,,
1883,2,27,4.1,10.2,-0.2,,,,,,
1883,2,28,2.8,7.8,-1.4,,,,,,
1883,3,1,2.2,7.1,-2.2,,,,,,
1883,3,2,3.7,10,-2.2,,,,,,
1883,3,3,4.8,10,0,,,,,,
1883,3,4,5.8,12.9,0,,,,,,
1883,3,5,4.6,12.9,-1.8,,,,,,
1883,3,6,2.6,9.6,-3.9,,,,,,
1883,3,7,3.4,10.2,-3.9,,,,,,
1883,3,8,4.6,11.7,-2.9,,,,,,
1883,3,9,4.6,11.7,-2.6,,,,,,
1883,3,10,4.3,10.8,-2.6,,,,,,
1883,3,11,4.2,10.8,-2.9,,,,,,
1883,3,12,4.1,11.2,-3.2,,,,,,
1883,3,13,5.6,13.1,-3.2,,,,,,
1883,3,14,6.1,13.1,-0.9,,,,,,
1883,3,15,5.8,13.8,-5,,,,,,
1883,3,16,5,13.8,-5,,,,,,
1883,3,17,4.6,10.2,-0.6,,,,,,
1883,3,18,5.3,13.9,-2.7,,,,,,
1883,3,19,6.8,14.9,-2.7,,,,,,
1883,3,20,7.4,14.9,-1.6,,,,,,
1883,3,21,5.1,10.1,0.5,,,,,,
1883,3,22,4.1,9.9,-0.9,,,,,,
1883,3,23,5.2,11.7,-0.9,,,,,,
1883,3,24,7.3,16.2,-0.4,,,,,,
1883,3,25,9.8,16.2,0.4,,,,,,
1883,3,26,8.3,13.2,3.3,,,,,,
1883,3,27,6.1,13.8,-2.3,,,,,,
1883,3,28,7.8,13.9,-2.3,,,,,,
1883,3,29,8.6,14.5,2.2,,,,,,
1883,3,30,8.9,17.4,-1,,,,,,
1883,3,31,6.6,17.4,-1.1,,,,,,
1883,4,1,4.4,13.4,-2.7,,,,,,
1883,4,2,7.3,17.2,-2.7,,,,,,
1883,4,3,9.6,17.2,1.7,,,,,,
1883,4,4,9,13.4,2.7,,,,,,
1883,4,5,8.5,16.4,-0.6,,,,,,
1883,4,6,9,16.4,-0.6,,,,,,
1883,4,7,7.8,13,2.8,,,,,,
1883,4,8,5.8,10.8,0.2,,,,,,
1883,4,9,6.5,16.7,-0.7,,,,,,
1883,4,10,10,20.2,-0.7,,,,,,
1883,4,11,12.4,20.2,3.3,,,,,,
1883,4,12,10.3,20.2,-0.8,,,,,,
1883,4,13,9.6,20.9,-0.8,,,,,,
1883,4,14,11.5,20.9,1.2,,,,,,
1883,4,15,9.5,14.1,5.8,,,,,,
1883,4,16,7.1,12.4,1.9,,,,,,
1883,4,17,7.4,17.3,-1.9,,,,,,
1883,4,18,11,21.8,-1.9,,,,,,
1883,4,19,14.9,21.8,3,,,,,,
1883,4,20,16.4,18.6,13.4,,,,,,
1883,4,21,16.6,18.9,13.8,,,,,,
1883,4,22,15.5,21.4,7.2,,,,,,
1883,4,23,14.4,21.4,7.2,,,,,,
1883,4,24,13.6,21.2,4.7,,,,,,
1883,4,25,13,21.2,2.7,,,,,,
1883,4,26,13.2,20.6,2.7,,,,,,
1883,4,27,15,22.4,7.9,,,,,,
1883,4,28,18,23.2,7.9,,,,,,
1883,4,29,18.5,23.2,14.7,,,,,,
1883,4,30,16,22.1,10.5,,,,,,
1884,1,1,-0.7,4.5,-4.3,,,,,,
1884,1,2,-0.4,6.5,-6.5,,,,,,
1884,1,3,1.2,10,-6.5,,,,,,
1884,1,4,3.3,10.7,-4.3,,,,,,
1884,1,5,5.3,10.9,-4.3,,,,,,
1884,1,6,4.9,10.9,-0.7,,,,,,
1884,1,7,2.5,10,-4.1,,,,,,
1884,1,8,2.1,9.1,-4.1,,,,,,
1884,1,9,1.1,7.6,-3.8,,,,,,
1884,1,10,-1.5,4,-5,,,,,,
1884,1,11,-1.9,3.4,-7.3,,,,,,
1884,1,12,0.1,8.5,-7.3,,,,,,
1884,1,13,3.2,11.3,-5.3,,,,,,
1884,1,14,3.9,11.3,-2.1,,,,,,
1884,1,15,2.6,10.3,-2.1,,,,,,
1884,1,16,2.4,8.1,-1.9,,,,,,
1884,1,17,2,7.4,-3.8,,,,,,
1884,1,18,1.7,6.7,-3.8,,,,,,
1884,1,19,0.7,5.6,-6.4,,,,,,
1884,1,20,-0.5,4.7,-6.4,,,,,,
1884,1,21,0.5,5,-4.5,,,,,,
1884,1,22,0.5,6.3,-7,,,,,,
1884,1,23,0.4,6.3,-7,,,,,,
1884,1,24,3.7,11.2,-2.6,,,,,,
1884,1,25,4.7,11.2,-0.8,,,,,,
1884,1,26,2.9,9.1,-4.6,,,,,,
1884,1,27,3.6,8.6,-4.6,,,,,,
1884,1,28,4.2,10.1,-0.1,,,,,,
1884,1,29,3.8,10.1,-0.3,,,,,,
1884,1,30,2.2,10.1,-1.7,,,,,,
1884,1,31,0.1,3.1,-1.7,,,,,,
1884,2,1,0.3,4.5,-2.7,,,,,,
1884,2,2,1.2,5.6,-2.7,,,,,,
1884,2,3,1.1,7.9,-5.4,,,,,,
1884,2,4,0.7,7.9,-5.4,,,,,,
1884,2,5,1.4,5.8,-1.3,,,,,,
1884,2,6,1.5,5.8,-3.6,,,,,,
1884,2,7,1,5.1,-3.6,,,,,,
1884,2,8,0.6,5.1,-2.7,,,,,,
1884,2,9,-0.5,3.9,-6.5,,,,,,
1884,2,10,-1.4,3.9,-8.1,,,,,,
1884,2,11,-1.4,5.2,-8.1,,,,,,
1884,2,12,-0.9,5.9,-7.2,,,,,,
1884,2,13,0.1,5.9,-6.9,,,,,,
1884,2,14,2.3,8.8,-3.8,,,,,,
1884,2,15,2.5,8.8,-1.8,,,,,,
1884,2,16,0.5,6,-5.3,,,,,,
1884,2,17,0.8,6.7,-5.3,,,,,,
1884,2,18,1.5,6.7,-2.1,,,,,,
1884,2,19,1.8,8.7,-4.6,,,,,,
1884,2,20,2.6,8.7,-4.6,,,,,,
1884,2,21,2.3,8.7,-4.7,,,,,,
1884,2,22,3,8.7,-4.7,,,,,,
1884,2,23,3.6,8.7,0.2,,,,,,
1884,2,24,2.5,7.3,-1.6,,,,,,
